Company Name,Description,Area,Reasoning,Company Domain,Company Description,Company Year Founded,Company Website,Company Number of Employees,Company Revenue,Company linkedin URL,Total Funding Amount,Total Number of Rounds,Last Round/Event Amount,Last Round/Event Type,Last Round/Event Date,IPO Status,Company Main Industry,Company Sub Industry,Company SIC (Standard Industrial Classification),Company NAIC (North American Industry Classification),Company Specialties,Company Continent,Company Country,Company City,Company Country ISO
ARPHYS,AR hardware for collaborative work,New physical capabilities,Augmented reality hardware,arphys.com,Arphys provides a personalized exercises platform with real-time feedback powered by advanced computer vision.,,https://arphys.com,1-10,$50M - $100M,https://www.linkedin.com/company/professionals-learning-technologies,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
Bark-Ai,Wearable tech for pet health,New physical capabilities,Smart collar/wearable for pets,bark-ai.com,"Bark AI is the DTC sales optimization platform you didn’t know existed. 

We help you get more sales and more profits using your existing products, audience, and marketing spend.

Here’s how:
- We track the performance of every product, variant, and SKU.
- We analyze which products convert best, which are most profitable, and which deliver the ideal balance.
- We pinpoint which products should get more exposure - and at what price - to maximize total sales and profits.

Here’s the logic: every product has a different conversion rate and generates different profits. The most converting product will get you the highest number of sales from your current media spend. The most profitable product will maximize profit per sale. 

But the real win comes from identifying and promoting the most *efficient* products - the ones that strike the perfect balance between high conversion rates and strong profits. 

Bark calculates these tradeoffs and runs the scenarios daily, so your store is always pushing the most efficient products.

The result: more sales, more profits, better ROAS, better CAC, and more return from the same ad spend.

No training. No onboarding. No ongoing maintenance. Your team's day to day does not change. We automate ongoing processes so daily tasks happen faster and yield better results 

Free 14-day trial. No annual commitment. Results are fast so you’ll know it works before the trial ends.

You can see some of our case studies here: https://bark-ai.com/case-studies

Send us a message and we'll be happy to show you what it can do for your store.",2022.0,https://bark-ai.com,11-50,$50M - $100M,https://www.linkedin.com/company/bark-ai,,,,Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"adobe, artificial intelligent, discounts, ecommerce, headless commerce, magento, piano, predictive modeling, revenue forecasting, revenue intelligence, shopify, startups",Asia,Israel,Tel Aviv,IL
Cogniteam,Robotics control and fleet management platform,New physical capabilities / AI for traditional industries,AI robotics development platform,cogniteam.com,"Cogniteam is a startup company in the field of Robotics and AIoT.
Our goal is to become a world leader in robotics and AIoT markets, in particular in products requiring high levels of autonomy and intelligence. We welcome opportunities to partner with others in these emerging markets.",2019.0,https://cogniteam.com,11-50,$10M - $50M,https://www.linkedin.com/company/cogniteam,$13.1M,3.0,3300000.0,Series A,2021-09-22,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,,IL
ITC - Intelligent Traffic Control,AI-driven traffic signal optimisation,AI for traditional industries,Smart traffic control using AI,itc.city,"At ITC, we’re building software that solves traffic jams. Apart from being annoying, traffic jams are also terrible for humanity and the planet, costing billions of dollars per year and generating horrifying CO2 emissions. We’ve developed state-of-the-art computer vision and machine learning algorithms to predict traffic patterns and prevent jams before they even start to accumulate. It’s as sci-fi as it sounds.",2019.0,https://itc.city,11-50,,https://www.linkedin.com/company/itc-israel,$10M,4.0,5000000.0,Series A,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
ePack Advanced Technologies,Smart packaging technologies,New physical capabilities / AI for traditional industries,Packaging solutions with sensors,,,,,,,,,,,,,,,,,,,,,,
FleetCopter,"Long-range, heavy-lift drones",New physical capabilities,Industrial drone platforms,fleetcopter.com,"Capturing the action, anytime, anywhere!",2020.0,https://fleetcopter.com,1-10,,https://www.linkedin.com/company/fleetcopter,$250k,1.0,250000.0,Pre Seed Round,,False,"Technology, Information & Media",Software Development,,,,Asia,Israel,Petaẖ Tiqva,IL
Sainnovation,Autonomous or AI-enabled systems (unclear),New physical capabilities / AI for traditional industries,Potential robotics/AI systems,sainnovation.com,"SAInnovation is a world-class cutting-edge development firm with expertise in leveraging technology to solve business challenges and create new opportunities.

Our core strengths:
- Agile methodology of 3 months development cycles
- Ad hock tailored team of top Israeli talent assembled per project
- From design to execution, we excel at fast, high-quality DELIVERY

We partner up with companies, adjusting technology to solve business challenges and create new opportunities: Learning the Partner company's existing processes, needs, and challenges, collaboratively designing a simple digital product to solve them, and Dissecting and executing the development plan in our 3 months microproject methodology.

As our process focuses on the highest level of delivery, to each micro project, based on Its complexity, SAInnovation assembles a team of top Israeli talents, each expert in their own field.",2022.0,https://sainnovation.com,1-10,,https://www.linkedin.com/company/sainnovation,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"big data, business intelligence, cloud, cyber security, software development",Asia,Israel,Yavné,IL
Picafuel,Fuel management analytics platform,AI for traditional industries,Fuel management using AI,picafuel.com,"Picafuel is a SaaS fleet payment platform revolutionizing operations in the fuel retail industry. Our comprehensive platform offers fleet card management, mobile payments, customer engagement, and loyalty solutions. Picafuel helps retailers cut costs, improve margins, and prevent fuel fraud effectively.

Beyond card management, our platform drives innovation, allowing retailers to customize pricing, introduce new products, and enhance operations. With Picafuel's e-mobility capabilities, fuel retailers gain the tools to grow their business and stay ahead in an evolving market.",2017.0,https://picafuel.com,11-50,$1 - $1M,https://www.linkedin.com/company/picafuel,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"computer vision, deep learning, fleet card management, fleet payments, fuel retail, fuel retail solutions, loyalty programs, targeted marketing",Asia,Israel,Tel Aviv,IL
SWAPP.AI,AI automation for architectural planning,AI for traditional industries,AI-driven architectural design,swapp.fashion,"SWAPP’s platform automates the most cumbersome and error-prone architectural planning phase: the production of construction documents (CD).

SWAPP clients benefit from completing multiple projects simultaneously at a high speed and focusing more on creative planning and less on tedious repetitive manual labor.

By combining algorithms, human expertise and end-to-end customer support, firms using SWAPP are reaching unprecedented goals and significantly increase both their gross margin and productivity.

Learn more about us on our website >> www.swapp.ai",2019.0,https://swapp.fashion,11-50,$1M - $10M,https://www.linkedin.com/company/buildos,$18.5M,4.0,11500000.0,Series A,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"architecture, architecture and planning, archviz, artificial intelligent, automation, build outs, building information modeling, building permits, commercial heating ventilation and air conditioning, computational design, construction, construction documents, contech, coworking, cre, design development, education, fit out, mep planning, multifamily, office, prop tech, property technology, real estate, residential development, schematic design, test fits, workspace",Asia,Israel,Tel Aviv,IL
Kardome,Advanced voice separation technology,AI reducing information asymmetry,Voice separation for better speech recognition,kardome.com,"Kardome’s patented Spatial Hearing technology simultaneously enhances speech signals from multiple speakers in real time, isolating the target speech with unsurpassed accuracy and enabling users to achieve high-quality results.

Kardome knows who is talking, where they're located, and what they're saying.

Kardome was established in 2019 by a team of enthusiastic and passionate researchers with vast experience in algorithms and acoustics. We are motivated and dedicated to making voice-controlled devices usable in all environments.

Visit our Website  Kardome.com to learn more or contact us at Info@kardome.com",2019.0,https://kardome.com,1-10,$10M - $50M,https://www.linkedin.com/company/kardome,$13.3M,6.0,10000000.0,Series A,2023-03-01,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"speech recognition, voice, voice recognition, voice technology",Asia,Israel,Tel Aviv,IL
